date,sala,abc,id
2016-08-21,37,A+,409
2016-08-21,760,A+,249
2016-08-21,114,A+,314
2016-08-21,316,A+,320
2016-08-21,167,A+,258
2016-08-28,2939,B,217
2016-08-28,2299,A,445
2016-08-28,1231,B,411
2016-08-28,1324,A,250
2016-08-28,954,B,273
2016-08-28,454,A+,254
2016-08-28,128,B,438
2016-08-28,3140,B,271
2016-08-28,761,B,181
2016-08-28,6087,A,180
2016-08-28,368,A+,225
2016-08-28,4025,A,222
2016-08-28,10097,A,487
2016-08-28,98,A+,409
2016-08-28,1791,A+,249
2016-08-28,190,A+,314
2016-08-28,631,A+,320
2016-08-28,1594,A+,258
2016-09-04,1566,B,217
2016-09-04,2195,A,445
2016-09-04,1235,B,411
2016-09-04,2565,A,250
2016-09-04,667,B,273
2016-09-04,314,A+,254
2016-09-04,92,B,438
2016-09-04,3155,B,271
2016-09-04,1185,B,181
2016-09-04,6603,A,180
2016-09-04,293,A+,225
2016-09-04,3962,A,222
2016-09-04,10957,A,487
2016-09-04,61,A+,409
2016-09-04,1433,A+,249
2016-09-04,187,A+,314
2016-09-04,393,A+,320
2016-09-04,1243,A+,258
2016-09-11,0,B,217
2016-09-11,3035,A,445
2016-09-11,919,B,411
2016-09-11,1257,A,250
2016-09-11,52,B,273
2016-09-11,501,A+,254
2016-09-11,87,B,438
2016-09-11,1575,B,271
2016-09-11,1345,B,181
2016-09-11,2499,A,180
2016-09-11,238,A+,225
2016-09-11,3294,A,222
2016-09-11,4711,A,487
2016-09-11,437,A+,409
2016-09-11,10,A+,249
2016-09-11,162,A+,314
2016-09-11,398,A+,320
2016-09-11,1199,A+,258
2016-09-18,1150,B,217
2016-09-18,1518,A,445
2016-09-18,2298,B,411
2016-09-18,1263,A,250
2016-09-18,988,B,273
2016-09-18,455,A+,254
2016-09-18,15,B,438
2016-09-18,2900,B,271
2016-09-18,781,B,181
2016-09-18,8050,A,180
2016-09-18,255,A+,225
2016-09-18,3806,A,222
2016-09-18,11309,A,487
2016-09-18,110,A+,409
2016-09-18,953,A+,249
2016-09-18,130,A+,314
2016-09-18,338,A+,320
2016-09-18,2185,A+,258
2016-09-25,916,B,217
2016-09-25,2976,A,445
2016-09-25,331,B,411
2016-09-25,1405,A,250
2016-09-25,488,B,273
2016-09-25,374,A+,254
2016-09-25,34,B,438
2016-09-25,2027,B,271
2016-09-25,1359,B,181
2016-09-25,4261,A,180
2016-09-25,240,A+,225
2016-09-25,2967,A,222
2016-09-25,6730,A,487
2016-09-25,146,A+,409
2016-09-25,904,A+,249
2016-09-25,97,A+,314
2016-09-25,345,A+,320
2016-09-25,3057,A+,258
2016-10-02,456,B,217
2016-10-02,2770,A,445
2016-10-02,1226,B,411
2016-10-02,2671,A,250
2016-10-02,876,B,273
2016-10-02,480,A+,254
2016-10-02,344,B,438
2016-10-02,2327,B,271
2016-10-02,995,B,181
2016-10-02,4339,A,180
2016-10-02,235,A+,225
2016-10-02,3425,A,222
2016-10-02,8824,A,487
2016-10-02,34,A+,409
2016-10-02,626,A+,249
2016-10-02,236,A+,314
2016-10-02,477,A+,320
2016-10-02,1239,A+,258
2016-10-09,493,B,217
2016-10-09,2044,A,445
2016-10-09,1840,B,411
2016-10-09,1080,A,250
2016-10-09,650,B,273
2016-10-09,408,A+,254
2016-10-09,8,B,438
2016-10-09,2054,B,271
2016-10-09,710,B,181
2016-10-09,4484,A,180
2016-10-09,249,A+,225
2016-10-09,3239,A,222
2016-10-09,5877,A,487
2016-10-09,67,A+,409
2016-10-09,1531,A+,249
2016-10-09,148,A+,314
2016-10-09,613,A+,320
2016-10-09,2205,A+,258
2016-10-16,700,B,217
2016-10-16,1203,A,445
2016-10-16,776,B,411
2016-10-16,1610,A,250
2016-10-16,799,B,273
2016-10-16,311,A+,254
2016-10-16,4,B,438
2016-10-16,1869,B,271
2016-10-16,595,B,181
2016-10-16,10979,A,180
2016-10-16,232,A+,225
2016-10-16,3435,A,222
2016-10-16,10968,A,487
2016-10-16,165,A+,409
2016-10-16,1389,A+,249
2016-10-16,162,A+,314
2016-10-16,399,A+,320
2016-10-16,781,A+,258
2016-10-23,778,B,217
2016-10-23,2140,A,445
2016-10-23,1226,B,411
2016-10-23,1447,A,250
2016-10-23,637,B,273
2016-10-23,332,A+,254
2016-10-23,0,B,438
2016-10-23,2461,B,271
2016-10-23,739,B,181
2016-10-23,9085,A,180
2016-10-23,173,A+,225
2016-10-23,3071,A,222
2016-10-23,16520,A,487
2016-10-23,119,A+,409
2016-10-23,694,A+,249
2016-10-23,104,A+,314
2016-10-23,328,A+,320
2016-10-23,1466,A+,258
2016-10-30,470,B,217
2016-10-30,2207,A,445
2016-10-30,1252,B,411
2016-10-30,1586,A,250
2016-10-30,797,B,273
2016-10-30,352,A+,254
2016-10-30,1085,B,438
2016-10-30,1619,B,271
2016-10-30,438,B,181
2016-10-30,3493,A,180
2016-10-30,201,A+,225
2016-10-30,2790,A,222
2016-10-30,4921,A,487
2016-10-30,80,A+,409
2016-10-30,1106,A+,249
2016-10-30,143,A+,314
2016-10-30,514,A+,320
2016-10-30,331,A+,258
2016-11-06,885,B,217
2016-11-06,981,A,445
2016-11-06,1248,B,411
2016-11-06,1417,A,250
2016-11-06,646,B,273
2016-11-06,387,A+,254
2016-11-06,1518,B,271
2016-11-06,495,B,181
2016-11-06,4192,A,180
2016-11-06,267,A+,225
2016-11-06,3951,A,222
2016-11-06,7494,A,487
2016-11-06,153,A+,409
2016-11-06,1380,A+,249
2016-11-06,164,A+,314
2016-11-06,487,A+,320
2016-11-06,450,A+,258
2016-11-13,42,B,217
2016-11-13,896,A,445
2016-11-13,327,B,411
2016-11-13,813,A,250
2016-11-13,787,B,273
2016-11-13,353,A+,254
2016-11-13,0,B,438
2016-11-13,1796,B,271
2016-11-13,889,B,181
2016-11-13,4371,A,180
2016-11-13,236,A+,225
2016-11-13,3135,A,222
2016-11-13,8744,A,487
2016-11-13,178,A+,409
2016-11-13,525,A+,249
2016-11-13,147,A+,314
2016-11-13,553,A+,320
2016-11-13,2846,A+,258
2016-11-20,921,B,217
2016-11-20,189,A,445
2016-11-20,931,B,411
2016-11-20,1250,A,250
2016-11-20,487,B,273
2016-11-20,279,A+,254
2016-11-20,1818,B,271
2016-11-20,109,B,181
2016-11-20,4055,A,180
2016-11-20,142,A+,225
2016-11-20,2430,A,222
2016-11-20,8574,A,487
2016-11-20,305,A+,409
2016-11-20,552,A+,249
2016-11-20,179,A+,314
2016-11-20,427,A+,320
2016-11-20,1225,A+,258
2016-11-27,768,B,217
2016-11-27,1718,A,445
2016-11-27,927,B,411
2016-11-27,1423,A,250
2016-11-27,28,B,273
2016-11-27,364,A+,254
2016-11-27,10,B,438
2016-11-27,1688,B,271
2016-11-27,300,B,181
2016-11-27,9489,A,180
2016-11-27,289,A+,225
2016-11-27,3193,A,222
2016-11-27,11245,A,487
2016-11-27,204,A+,409
2016-11-27,688,A+,249
2016-11-27,243,A+,314
2016-11-27,504,A+,320
2016-11-27,794,A+,258
2016-12-04,860,B,217
2016-12-04,849,A,445
2016-12-04,636,B,411
2016-12-04,505,A,250
2016-12-04,793,B,273
2016-12-04,459,A+,254
2016-12-04,0,B,438
2016-12-04,1912,B,271
2016-12-04,383,B,181
2016-12-04,7253,A,180
2016-12-04,262,A+,225
2016-12-04,3144,A,222
2016-12-04,12264,A,487
2016-12-04,207,A+,409
2016-12-04,711,A+,249
2016-12-04,169,A+,314
2016-12-04,398,A+,320
2016-12-04,1624,A+,258
2016-12-11,1334,B,217
2016-12-11,2584,A,445
2016-12-11,1546,B,411
2016-12-11,1889,A,250
2016-12-11,626,B,273
2016-12-11,433,A+,254
2016-12-11,1,B,438
2016-12-11,1656,B,271
2016-12-11,378,B,181
2016-12-11,5495,A,180
2016-12-11,345,A+,225
2016-12-11,3454,A,222
2016-12-11,9678,A,487
2016-12-11,981,A+,409
2016-12-11,658,A+,249
2016-12-11,202,A+,314
2016-12-11,335,A+,320
2016-12-11,10727,A+,258
2016-12-18,970,B,217
2016-12-18,3594,A,445
2016-12-18,3064,B,411
2016-12-18,2688,A,250
2016-12-18,1845,B,273
2016-12-18,388,A+,254
2016-12-18,10,B,438
2016-12-18,2501,B,271
2016-12-18,507,B,181
2016-12-18,7606,A,180
2016-12-18,275,A+,225
2016-12-18,3125,A,222
2016-12-18,14493,A,487
2016-12-18,58,A+,409
2016-12-18,1337,A+,249
2016-12-18,146,A+,314
2016-12-18,496,A+,320
2016-12-18,802,A+,258
2016-12-25,75,B,217
2016-12-25,45,A,445
2016-12-25,13,B,411
2016-12-25,57,A,250
2016-12-25,29,B,273
2016-12-25,124,A+,254
2016-12-25,1,B,438
2016-12-25,2009,B,271
2016-12-25,277,B,181
2016-12-25,1832,A,180
2016-12-25,120,A+,225
2016-12-25,2073,A,222
2016-12-25,4083,A,487
2016-12-25,34,A+,409
2016-12-25,771,A+,249
2016-12-25,20,A+,314
2016-12-25,244,A+,320
2016-12-25,406,A+,258
2017-01-01,739,B,217
2017-01-01,914,A,445
2017-01-01,465,B,411
2017-01-01,1748,A,250
2017-01-01,939,B,273
2017-01-01,248,A+,254
2017-01-01,1,B,438
2017-01-01,2546,B,271
2017-01-01,368,B,181
2017-01-01,1069,A,180
2017-01-01,180,A+,225
2017-01-01,1910,A,222
2017-01-01,4067,A,487
2017-01-01,173,A+,409
2017-01-01,351,A+,249
2017-01-01,83,A+,314
2017-01-01,298,A+,320
2017-01-01,1337,A+,258
2017-01-08,809,B,217
2017-01-08,1161,A,445
2017-01-08,767,B,411
2017-01-08,957,A,250
2017-01-08,15,B,273
2017-01-08,337,A+,254
2017-01-08,4,B,438
2017-01-08,1846,B,271
2017-01-08,401,B,181
2017-01-08,7585,A,180
2017-01-08,153,A+,225
2017-01-08,3019,A,222
2017-01-08,15717,A,487
2017-01-08,1117,A+,409
2017-01-08,416,A+,249
2017-01-08,141,A+,314
